email,tipo_email,telefono,tipo_telefono,id_contacto,dni
jose-ramonsales@example.net,Personal,+34 920 92 38 03,Trabajo,167,45188890
ellopis@example.org,Personal,+34 880 01 14 40,Trabajo,235,93531410
palacioalicia@example.org,Personal,+34825 05 92 80,Personal,906,88141468
illuch@example.org,Personal,+34822 51 75 25,Trabajo,856,87382693
celiacuellar@example.org,Personal,+34841586175,Trabajo,624,93531410
sabateralmudena@example.net,Trabajo,+34872 66 20 54,Trabajo,954,19328658
omenendez@example.net,Trabajo,+34 850 30 55 58,Trabajo,430,88583410
uzaragoza@example.com,Personal,+34 879048076,Trabajo,966,62294418
ale06@example.org,Trabajo,+34820603872,Personal,844,75120583
cporcel@example.net,Personal,+34943007246,Trabajo,961,19328658
eliseo81@example.net,Trabajo,+34 841766108,Personal,174,48010018
calista13@example.org,Trabajo,+34 973 62 39 19,Personal,256,10762425
sofiamanrique@example.net,Trabajo,+34 841 73 51 56,Trabajo,82,43964227
maxicarbonell@example.org,Trabajo,+34 948 85 66 06,Personal,150,26653913
benignolarrea@example.net,Personal,+34943 919 200,Trabajo,721,76077668
noriegadolores@example.net,Trabajo,+34 901 69 05 46,Trabajo,413,19219969
oriananino@example.com,Personal,+34 826 52 13 32,Trabajo,421,97215815
ramirezainara@example.net,Trabajo,+34872 685 439,Trabajo,573,22966137
chelo52@example.net,Trabajo,+34848 92 75 84,Trabajo,525,18680323
qarco@example.org,Personal,+34 821 749 091,Trabajo,452,14822127
perellobernarda@example.org,Personal,+34900 114 256,Personal,710,76791864
emilia66@example.net,Trabajo,+34925 69 31 13,Personal,268,76077668
fernanda56@example.com,Trabajo,+34 820153297,Personal,213,19989146
vilanovaanna@example.org,Trabajo,+34 823 93 31 92,Trabajo,67,41313666
catalina98@example.com,Personal,+34806789385,Trabajo,1,11943003
agullolorenza@example.com,Trabajo,+34 828 46 83 36,Personal,35,75120583
amomaria@example.com,Personal,+34884 86 87 19,Personal,629,10700955
cazorlamaria@example.org,Personal,+34 841 11 26 89,Personal,779,69577583
olegario02@example.org,Personal,+34973 63 80 74,Personal,354,19989146
zaida06@example.net,Personal,+34 918430911,Personal,295,60607292
dmateu@example.org,Trabajo,+34 942 273 382,Personal,238,80127850
munozpaloma@example.net,Trabajo,+34 949 58 32 42,Personal,294,26900637
terecano@example.org,Trabajo,+34881376731,Trabajo,304,62294418
fajardotania@example.net,Trabajo,+34 888 420 234,Personal,939,60123656
azenethespada@example.com,Personal,+34901 78 37 28,Trabajo,718,58520157
quique04@example.com,Trabajo,+34726346613,Trabajo,198,68124619
itapia@example.net,Personal,+34724 207 001,Trabajo,325,54312423
brionesmariano@example.com,Personal,+34 948 665 652,Trabajo,905,73428843
gdiaz@example.com,Trabajo,+34871074096,Personal,870,55873294
xacedo@example.org,Personal,+34744329827,Personal,72,43964227
paco72@example.com,Personal,+34 931 02 47 97,Personal,874,16493616
federicosalcedo@example.net,Personal,+34 803 79 46 17,Trabajo,831,22418097
mateo53@example.com,Trabajo,+34849321512,Personal,548,78687912
maria-belen83@example.com,Personal,+34888519320,Personal,722,91273054
renatoalcazar@example.com,Personal,+34980 128 335,Trabajo,983,65420549
domingo58@example.net,Trabajo,+34825 38 35 34,Trabajo,671,35301286
feliciaruano@example.org,Personal,+34 926794077,Personal,134,56297387
buenaventura46@example.com,Trabajo,+34879 86 82 08,Trabajo,780,88686574
agustinsandra@example.com,Trabajo,+34 876158744,Personal,958,65257425
camilo56@example.org,Trabajo,+34 926 268 150,Personal,414,18264008
angulomaria-fernanda@example.com,Trabajo,+34 822 095 058,Trabajo,679,10709356
humberto73@example.org,Trabajo,+34 884511473,Personal,730,95699285
xgodoy@example.org,Personal,+34 714897740,Trabajo,539,86659497
jose-ignaciocorominas@example.com,Personal,+34849 52 76 47,Trabajo,542,97845232
horacio48@example.com,Trabajo,+34900733081,Personal,927,16493616
aznarana@example.net,Trabajo,+34 901 75 10 45,Personal,607,89261452
hermenegildo00@example.net,Trabajo,+34874 84 65 20,Trabajo,817,89261452
mamo@example.com,Trabajo,+34807442614,Personal,209,56297387
toribioaguila@example.net,Personal,+34 980 098 342,Personal,613,11178870
brigidacardenas@example.net,Trabajo,+34 821169803,Trabajo,568,87382693
velascoaugusto@example.com,Personal,+34949 874 611,Trabajo,53,95244108
hilario71@example.net,Trabajo,+34 926793846,Trabajo,199,83189541
ymayo@example.net,Trabajo,+34928 64 41 87,Trabajo,615,83972774
encarnacioncolomer@example.com,Trabajo,+34 843667839,Personal,260,98947727
timoteo96@example.net,Trabajo,+34 988118312,Trabajo,536,68530523
nunezdolores@example.net,Personal,+34885836639,Personal,723,47174169
fidelruano@example.com,Personal,+34 803 51 28 35,Personal,95,17726452
aroura@example.com,Personal,+34900108531,Personal,957,62294306
brigida51@example.com,Trabajo,+34843209003,Trabajo,653,68779034
dsastre@example.org,Personal,+34 981126268,Trabajo,609,57934168
edaza@example.net,Personal,+34981 141 193,Personal,742,83778837
marpi@example.net,Trabajo,+34973 43 32 30,Personal,804,91776477
florleticia@example.com,Personal,+34 925 24 02 06,Personal,141,93531410
ocarpio@example.com,Trabajo,+34945 397 636,Personal,849,41336657
imorante@example.com,Personal,+34948 61 18 46,Personal,788,14133468
ecorominas@example.net,Personal,+34 966 96 40 30,Personal,151,31193713
zamoramiriam@example.com,Personal,+34927 77 57 10,Personal,343,15504838
amaya18@example.net,Personal,+34 931 59 27 99,Trabajo,685,17037203
mdiaz@example.com,Trabajo,+34733993476,Personal,687,46942063
cantonnico@example.com,Personal,+34947290745,Personal,50,62294418
ordonezmohamed@example.net,Trabajo,+34749 33 64 31,Personal,33,21367486
sosimo35@example.org,Trabajo,+34 735 118 201,Personal,929,91273054
wfajardo@example.org,Trabajo,+34987238288,Personal,631,22418097
figlesia@example.net,Personal,+34 974 53 08 04,Personal,18,75120583
manu19@example.net,Personal,+34838006868,Trabajo,857,46942063
serraandres@example.org,Personal,+34 976 893 423,Personal,864,60123656
conchajimenez@example.net,Trabajo,+34 920 53 32 25,Trabajo,888,67162676
cardenasche@example.net,Personal,+34 806 83 22 64,Trabajo,203,37792710
heliodoroalamo@example.org,Trabajo,+34 978 252 620,Trabajo,240,88686574
sofia95@example.net,Personal,+34922824785,Personal,715,60123656
lucia26@example.net,Trabajo,+34822832244,Personal,509,55227386
ciprianomur@example.net,Trabajo,+34711390477,Trabajo,269,26287524
epifanioechevarria@example.net,Trabajo,+34 803 06 90 71,Trabajo,655,11978635
xhidalgo@example.com,Trabajo,+34875 772 883,Personal,575,85020459
escrivavera@example.com,Personal,+34928 660 779,Trabajo,157,65399946
waguirre@example.net,Trabajo,+34 877 52 61 26,Trabajo,21,87851927
carmelogamez@example.com,Trabajo,+34 849 50 75 56,Personal,740,88554975
wcalzada@example.net,Trabajo,+34803991448,Personal,31,81275330
fannypenalver@example.org,Personal,+34 826902359,Personal,194,62294306
mcolom@example.com,Personal,+34 928866805,Personal,700,52078394
mohamed20@example.org,Personal,+34 902 32 54 22,Trabajo,512,12965193
vcarrillo@example.net,Personal,+34 926 838 272,Trabajo,138,16493616
rbarral@example.org,Trabajo,+34 846 172 911,Personal,914,69577583
clotildemelendez@example.com,Personal,+34 885 98 76 32,Trabajo,255,98947727
tquerol@example.com,Personal,+34886804255,Personal,291,47174169
