dni,tipo_domicilio,fecha_nacimiento,nombre,apellido,localidad,departamento,provincia,numero,piso,codigo_postal,calle,edad,cuil,inicio_actividad,estado_civil,sexo,barrio,legajo
44820968,Personal,1990-06-06,María Fernanda,Vicente,Cuenca,Girona,Ávila,2794,,5839,Calle de Noa Valenzuela,64,25000516859,1998-09-14,Casado,F,Norte,3834141
63334423,Personal,1965-09-13,Eulalia,Arranz,Murcia,Cádiz,Badajoz,2320,,2277,Vial Leoncio Royo,46,20031385911,2009-03-16,Soltero,M,Oeste,5763159
69726534,Otro,1996-09-22,Liliana,Ibáñez,Sevilla,Ceuta,Málaga,1263,2B,8234,Urbanización Berto Quero,31,21341397513,2014-09-17,Viudo,M,Oeste,6597043
42482580,Personal,1965-09-03,Fabricio,Redondo,Toledo,Castellón,Barcelona,4446,4D,5022,Callejón de Juan Pablo Espada,47,25640511228,2015-08-26,Casado,F,Barrio 2,8114765
53472652,Otro,1997-12-23,Gabino,Ojeda,Ávila,Valladolid,Ávila,370,4D,8633,Rambla Francisca Posada,50,27591613482,2013-12-04,Soltero,M,Barrio 1,3455837
24200619,Personal,1976-09-10,Ámbar,Amaya,Barcelona,Córdoba,Baleares,8347,2B,4617,Plaza de María Luisa Flor,63,25216880150,2016-08-13,Viudo,F,Oeste,8743788
24763943,Personal,1993-04-18,Isaías,Arroyo,Baleares,Teruel,Asturias,809,2B,8878,Camino de Atilio Yuste,30,25428424624,2018-03-26,Soltero,M,Barrio 2,7154512
21089200,Laboral,1974-04-09,Florencio,Echeverría,Pontevedra,Álava,Castellón,9703,,3134,Urbanización Aureliano Ferrán,51,27750013144,2009-01-28,Soltero,M,Oeste,6043890
95049489,Personal,1963-11-21,Fortunato,Goicoechea,Burgos,Girona,Albacete,5022,4D,9994,Pasaje de Felicidad Nebot,32,25274691610,2023-07-09,Soltero,M,Barrio 2,6336034
32382398,Otro,1977-07-20,Leandro,Boada,Soria,Jaén,Guadalajara,2829,3C,1909,Avenida de Pedro Ledesma,29,24297138152,2021-03-14,Casado,F,Sur,1262758
23403537,Otro,1991-07-25,Cecilio,Planas,Ceuta,Santa Cruz de Tenerife,Salamanca,9788,3C,7447,Calle de Luciano Molina,42,26011020944,2009-02-09,Soltero,M,Sur,5664946
48412033,Otro,1959-05-26,Tito,Boada,Cuenca,Ourense,Melilla,6879,3C,1361,Camino de Filomena Macias,45,21671434393,2012-09-06,Viudo,M,Centro,1410954
71679503,Laboral,2001-11-09,Sandra,Diaz,Cádiz,Ceuta,Ourense,1320,1A,7060,Via Cruz Madrid,34,22004818680,2005-07-01,Casado,M,Barrio 2,8039371
94018365,Personal,1999-11-30,Jennifer,Méndez,Vizcaya,Huesca,La Rioja,5702,3C,9070,C. de Camilo Amo,45,28152135092,2020-06-29,Casado,M,Centro,4631408
68163145,Otro,1967-08-02,Renato,Vendrell,Soria,Ciudad,Girona,5643,4D,4794,Rambla Petrona Pastor,37,24632385288,2012-12-31,Soltero,F,Barrio 2,6637615
27120173,Laboral,1986-05-21,Febe,Garcia,Asturias,Castellón,Ávila,216,4D,3403,Glorieta Adán Garcés,27,23142757924,2019-11-18,Soltero,M,Oeste,9006939
57975245,Laboral,1971-09-17,Fabio,Cisneros,Segovia,Santa Cruz de Tenerife,Santa Cruz de Tenerife,3427,,3294,Via Baltasar Manjón,61,24457094645,2005-03-03,Divorciado,F,Barrio 3,7505478
58952971,Laboral,1968-07-30,Rufino,Quero,Vizcaya,Tarragona,Almería,9385,1A,1330,Cañada Darío Tolosa,61,20878396592,2015-04-07,Casado,M,Centro,3899413
60011964,Personal,2000-01-17,Ignacia,Blanes,Las Palmas,Castellón,Murcia,4060,,2655,Plaza de Concha Román,39,24897608815,2000-06-22,Divorciado,F,Barrio 3,2192426
55794847,Laboral,1960-07-10,Alfredo,Izquierdo,Teruel,Ciudad,Valladolid,1363,4D,8775,Pasadizo de Agapito Bello,48,21270540261,2022-03-29,Divorciado,F,Este,8850945
43464505,Otro,1969-04-07,Atilio,Rosales,Córdoba,Navarra,Toledo,2605,3C,4028,Rambla de Demetrio Canals,61,21897134347,1995-09-07,Divorciado,M,Barrio 3,9693833
15149608,Personal,1971-06-22,Mauricio,Alcázar,Ourense,Palencia,Huelva,2498,2B,5140,Glorieta Maribel Chaparro,51,24565725948,2019-11-04,Casado,M,Oeste,888575
51294798,Otro,1986-10-19,Anastasio,Gonzalo,Ávila,Ourense,Ávila,8468,1A,8825,Alameda de Cecilio Palomares,53,20816439872,2003-12-03,Casado,F,Centro,3467226
82584653,Laboral,1992-10-08,Renata,Caro,Soria,Murcia,Salamanca,7505,,4914,Pasadizo de Luis Ángel Roldán,61,21780969505,2012-08-08,Viudo,M,Este,4044588
60700758,Laboral,2001-07-25,Gema,Gaya,Alicante,Ciudad,Valencia,1268,2B,6987,Glorieta Julio Pinto,61,20075882748,2001-09-17,Soltero,M,Este,9240865
28118874,Laboral,1985-08-06,Gabriel,Pinto,Ceuta,Lleida,Santa Cruz de Tenerife,4258,2B,5847,Pasaje de Anacleto Bautista,47,28306409256,1997-11-03,Viudo,M,Este,8806753
64676692,Laboral,1979-09-23,Candelas,Rosales,Baleares,Badajoz,Lugo,6090,4D,7962,Pasaje de José Mari Márquez,29,29718669267,2018-12-01,Casado,M,Barrio 3,9037887
50825144,Otro,1963-06-13,Clarisa,Rebollo,Pontevedra,Almería,Toledo,3021,3C,7784,C. de Lino Arce,44,25083275841,2010-07-13,Viudo,F,Barrio 3,1809437
86325372,Laboral,1968-06-03,Encarnación,Crespo,La Coruña,Girona,Asturias,5187,,5671,Urbanización de Raúl Ribas,39,25898562378,2009-02-24,Viudo,M,Oeste,6992262
84431057,Laboral,1993-01-22,Florentina,Berrocal,Badajoz,Cuenca,Valencia,8232,,3032,Calle de Esther Meléndez,35,21892093528,2018-08-14,Soltero,M,Barrio 2,4954921
15282717,Otro,1981-06-17,Angélica,Reina,Soria,Ourense,Granada,5566,,5072,Via Andrés Felipe Bejarano,26,29333059870,2021-11-15,Divorciado,M,Este,3752961
55553438,Otro,1983-07-26,Ana,Elorza,Granada,Guipúzcoa,Palencia,2432,3C,9395,Callejón Domitila Plaza,56,28656946114,2004-09-08,Viudo,M,Barrio 2,2763752
44869434,Otro,1994-03-15,Flor,Bas,Guadalajara,Vizcaya,La Rioja,1914,,5241,Ronda Julia Seguí,57,29974017140,2015-11-01,Soltero,F,Barrio 2,4332970
31901583,Otro,1968-06-07,Mayte,Acedo,Teruel,Huesca,Pontevedra,1319,3C,1021,Glorieta Reyes Hierro,49,23082095821,2000-03-13,Casado,M,Oeste,2616607
61043091,Laboral,1988-03-16,Elías,Jaén,Navarra,Cantabria,Sevilla,9429,1A,2411,Calle de Ruperta Almeida,65,29654305403,1996-08-03,Viudo,M,Este,6494314
30906680,Personal,2002-01-01,Edelmira,Luján,Zaragoza,Ceuta,Valencia,3745,,2286,Cañada Saturnino Antúnez,42,27466322777,2013-10-02,Soltero,M,Barrio 1,4859420
49218633,Personal,1965-03-10,Benigno,Pinto,Barcelona,Vizcaya,Asturias,8439,4D,1447,Camino Maxi Bastida,40,26895113906,2022-05-11,Soltero,M,Barrio 1,9145861
43028888,Personal,1972-10-31,Carmelo,Padilla,Toledo,Álava,Murcia,9039,1A,8116,Calle Máxima Marin,23,21672915522,2002-05-01,Casado,M,Oeste,5918297
90741496,Otro,1995-06-22,Cesar,Costa,Cantabria,Valladolid,Madrid,8788,4D,9590,Acceso Rodrigo Morán,36,27343783220,2006-07-23,Divorciado,M,Oeste,3792321
80514236,Laboral,1983-01-29,Maximino,Osuna,Burgos,Ávila,Ourense,1246,4D,1559,Ronda Isidora Cortina,38,26013179232,2022-12-03,Divorciado,M,Centro,8339942
90058320,Otro,1970-08-15,Hernando,Blazquez,Ceuta,Ávila,Soria,330,2B,2013,Cuesta de Domingo Doménech,48,26499016523,2004-01-20,Viudo,M,Sur,6749335
44961200,Personal,1967-06-20,Feliciano,Tejada,Burgos,Madrid,La Rioja,4748,4D,8362,Glorieta Violeta Pozo,31,25394680798,2004-03-31,Casado,M,Sur,2057427
63886974,Personal,1981-03-27,Trini,Esteve,Huelva,Málaga,Huesca,5941,4D,7146,Avenida de Ciro Soriano,26,22266269022,2020-05-14,Divorciado,M,Norte,2938922
60024332,Personal,1959-01-09,Paca,Miralles,Cádiz,Burgos,Castellón,8084,1A,1264,Ronda de Edmundo Moraleda,35,22480295395,2009-06-04,Soltero,F,Centro,823521
19972731,Personal,1963-12-14,Esmeralda,Cepeda,Almería,Málaga,Salamanca,3021,,5387,Rambla de Jose Carlos Pastor,27,23812586464,2000-04-29,Casado,F,Barrio 3,7150500
27716604,Laboral,1987-05-16,Ofelia,Díaz,Ávila,Álava,Castellón,1912,3C,6152,Glorieta de Cristina Araujo,58,22561286335,2008-05-18,Divorciado,M,Oeste,4295343
29235345,Otro,1977-10-13,Modesto,Abella,Teruel,Murcia,Tarragona,5235,2B,2445,Callejón de Herberto Manjón,23,22093709590,2017-02-13,Divorciado,F,Oeste,7129464
41430386,Personal,1980-06-03,Pili,Juárez,Segovia,Ceuta,Murcia,277,,3692,Calle de Quique Montaña,32,27998326578,2020-03-15,Soltero,F,Sur,257991
38366073,Personal,1965-04-05,Blanca,Sáenz,León,Salamanca,Ceuta,6392,4D,8952,Urbanización de Piedad Chaves,37,26297091868,2007-12-10,Soltero,F,Centro,4374047
18051777,Otro,1970-03-09,Toribio,Bayo,Melilla,Lugo,Álava,4594,2B,4168,Cañada de Florentino Urrutia,60,24266016785,2002-03-03,Casado,F,Centro,9977141
27086887,Laboral,1995-06-02,Lucila,Orozco,Jaén,León,Baleares,2651,4D,9583,Pasadizo Quique Perez,49,29117522148,2004-06-09,Viudo,F,Barrio 2,6413333
87024927,Otro,1982-11-06,Miguel Ángel,Higueras,Badajoz,Lugo,Santa Cruz de Tenerife,34,4D,5003,Pasaje Adolfo Quevedo,25,27861880957,2008-09-11,Viudo,F,Centro,3742306
44192523,Otro,1987-04-26,Nadia,Torrens,Navarra,Murcia,Castellón,5497,2B,8541,Paseo de Graciano Gilabert,60,25180790015,2012-01-26,Viudo,M,Oeste,7109593
55252142,Laboral,1974-02-25,Jenaro,Caballero,Burgos,Badajoz,Ciudad,3122,4D,5372,Camino Ángeles Viñas,25,24784684270,1997-11-18,Viudo,M,Este,9782572
94720470,Personal,1966-09-09,Corona,Pera,Burgos,Santa Cruz de Tenerife,Tarragona,6580,4D,2174,Acceso César Verdú,28,28662532422,1997-02-12,Soltero,F,Este,3020339
48839173,Laboral,1978-08-08,Yésica,Bosch,Salamanca,Teruel,Huesca,8518,3C,6374,Paseo de Haroldo Cantero,44,24729407544,1995-10-28,Casado,M,Barrio 2,376674
16821368,Otro,1966-08-23,Esteban,Francisco,Baleares,Guipúzcoa,Cáceres,4507,2B,6797,Alameda de María Teresa Adán,45,29036064900,2005-11-27,Viudo,F,Barrio 2,1014901
74228089,Personal,1996-03-15,Magdalena,Núñez,Málaga,Huesca,Alicante,5285,2B,1123,Acceso Yolanda Peinado,22,27595901068,1999-07-10,Soltero,M,Sur,3442843
44405159,Otro,1995-04-10,Josefa,Zamora,Álava,Zamora,Huelva,6106,4D,8331,Avenida Kike Prado,36,21195847633,2010-09-09,Viudo,F,Este,4946838
79087997,Otro,1982-02-08,Ágata,Amador,Sevilla,Vizcaya,Vizcaya,9133,3C,7677,Glorieta de Juan Naranjo,23,27044537767,2007-09-15,Casado,M,Barrio 3,6587667
57064898,Laboral,1977-10-26,Tiburcio,Maza,Tarragona,Ávila,Murcia,203,4D,4234,Urbanización Cloe Ledesma,28,29740173920,2024-03-31,Casado,M,Este,4266784
23541238,Laboral,1976-04-26,Cayetana,Bartolomé,Cantabria,Alicante,Almería,4259,3C,4242,Calle Adelia Valls,50,22194561139,2020-03-07,Casado,M,Oeste,8264944
19732863,Personal,2000-05-24,Rosendo,Carlos,Barcelona,Santa Cruz de Tenerife,Tarragona,205,3C,6379,Plaza de Lupe Alemán,59,26555549586,2012-03-01,Divorciado,M,Sur,3348399
59096720,Personal,1962-02-03,Galo,Noriega,Teruel,Pontevedra,Soria,5516,3C,3885,Vial René Pombo,33,26341239985,1997-02-28,Viudo,F,Barrio 1,6989719
39757475,Laboral,1988-07-19,Vera,Boada,Guipúzcoa,Cádiz,Madrid,7651,1A,4511,Pasaje Juana Manuel,32,26733151642,2004-09-27,Divorciado,F,Barrio 1,9169392
87571807,Personal,1998-10-30,Victor Manuel,Vargas,Zamora,Guadalajara,León,2505,2B,7467,Camino Ani Valderrama,47,21982982188,2007-06-23,Divorciado,F,Centro,1577137
51649699,Personal,1984-12-11,Damián,Camino,Salamanca,Granada,Ciudad,4816,,6368,Paseo de Manolo Sales,49,25374906797,2024-02-28,Soltero,M,Sur,7609851
31236918,Otro,1961-06-03,Aitor,Carranza,Las Palmas,Vizcaya,Huesca,4681,,3241,Via de Alcides Tejedor,65,26259182037,1997-12-10,Viudo,M,Centro,5114311
36610048,Personal,1995-03-19,Nydia,Soto,Cuenca,Valencia,Asturias,4775,1A,8303,Calle Visitación Valera,38,27099991487,2003-03-08,Divorciado,F,Este,3820941
39526545,Otro,1968-03-26,Sonia,Frías,Lugo,León,Navarra,7751,3C,6244,Pasadizo de Marianela Piñeiro,53,25241964538,1997-12-03,Soltero,M,Sur,1038373
74983783,Personal,1984-01-24,Ana,Zorrilla,La Rioja,Burgos,Ceuta,3609,3C,4083,Cañada Nando Cabeza,26,26262394282,2010-10-09,Casado,M,Oeste,2473304
43964227,Personal,1987-02-13,Paula,Barreda,Alicante,Málaga,Girona,4752,4D,6157,Calle Elena Echeverría,57,26606759780,2010-02-26,Viudo,M,Norte,7843712
26254282,Laboral,1995-10-28,Jesusa,Llorente,Zaragoza,Jaén,Vizcaya,6467,3C,4596,Camino Elisabet Rosales,34,29993814705,2001-09-08,Casado,M,Centro,8978738
76255699,Personal,1968-01-30,Miguela,Sevilla,Cádiz,Cantabria,Cádiz,5149,1A,7770,Urbanización Ciro Contreras,60,25172277134,2005-12-16,Viudo,F,Norte,9684925
70782087,Otro,1989-09-10,Isidora,Barragán,Pontevedra,Ceuta,Valladolid,426,,8498,C. de María Manuela Hidalgo,55,26153812848,1996-08-04,Casado,M,Centro,4983549
20326461,Laboral,1975-07-08,Eli,Merino,Asturias,Ciudad,Murcia,6796,2B,9583,Camino Wilfredo Cámara,35,20791543649,2006-03-19,Soltero,M,Sur,637452
21503240,Otro,2000-12-02,Moreno,Bermúdez,Soria,Alicante,Lleida,4168,3C,9474,Camino de Calista Malo,41,25955281373,2020-10-31,Divorciado,F,Centro,9324037
68260120,Laboral,1977-10-13,Nadia,Lamas,La Rioja,Lleida,Soria,144,3C,4106,Acceso Edmundo Esteve,57,26833933391,1999-09-25,Viudo,M,Este,1463448
63498290,Laboral,1996-08-24,Bernardo,Caro,Salamanca,Asturias,Cuenca,2923,1A,3512,Pasaje Lupe Giner,37,29928243139,2017-04-09,Divorciado,F,Sur,1889102
60473627,Laboral,1971-11-15,Édgar,Colom,Cantabria,Teruel,Alicante,9829,2B,6606,Cañada Marino Salazar,61,28570802408,2017-08-09,Viudo,F,Barrio 3,9764165
11838717,Otro,1980-07-10,Lázaro,Beltrán,Granada,Lugo,Vizcaya,5099,2B,9390,Avenida Celso Tapia,50,24843294790,2002-10-21,Casado,M,Barrio 2,7145329
97862701,Otro,1989-12-30,Humberto,Llanos,Burgos,Málaga,Albacete,9866,1A,6983,Ronda Trinidad Palomo,48,25667943430,1996-01-30,Casado,M,Norte,1078169
67405847,Personal,1967-12-12,Adelina,Guillen,Zaragoza,Burgos,Alicante,9304,3C,4004,Avenida de Mario Villa,48,25817118081,2004-07-16,Viudo,M,Este,8395210
15291153,Laboral,1968-07-11,Jimena,Pelayo,Navarra,Álava,Pontevedra,2473,2B,7307,Callejón de Martirio Alemán,35,23844913577,2001-06-08,Viudo,F,Centro,8418552
72377302,Otro,1997-05-22,Anselma,Vicens,Barcelona,Toledo,Murcia,7566,3C,9658,Ronda Paula Vázquez,35,21841817769,2001-05-12,Soltero,M,Oeste,3969821
91038227,Personal,1994-09-18,Lázaro,Briones,Valladolid,Palencia,Albacete,8974,4D,6835,Cuesta de Esmeralda Pedrosa,62,25139403117,2015-02-12,Soltero,F,Barrio 3,4067191
51062848,Personal,1963-10-11,Eloy,Casals,Almería,Soria,Toledo,6558,3C,4817,Urbanización Hernán Palomo,45,23339872902,2000-01-23,Soltero,M,Norte,9176145
27168396,Personal,1989-02-08,Estefanía,Zapata,Zaragoza,Segovia,Castellón,990,,6335,Pasadizo Reyna Hernández,36,21226445381,2020-12-21,Soltero,F,Barrio 3,7286617
83145835,Personal,1999-08-03,Anna,Escribano,Córdoba,Granada,Tarragona,749,3C,8906,Vial Poncio Aguado,22,24121123000,2016-06-01,Divorciado,M,Este,6484746
79861179,Personal,1993-04-16,Francisco Jose,Martí,Las Palmas,La Coruña,Málaga,433,2B,7697,Ronda de Melchor Gimeno,34,26094665966,1999-03-08,Viudo,M,Centro,8006678
19681771,Laboral,1991-09-22,Silvia,Lopez,Segovia,La Rioja,Melilla,7847,3C,8402,C. Jorge Elías,29,21395555299,2012-04-25,Casado,M,Oeste,994338
77629915,Otro,1990-08-27,Miriam,Merino,Cádiz,Cantabria,Melilla,936,1A,4694,Cañada Gustavo Dávila,31,23884168829,2001-05-21,Soltero,M,Barrio 2,6321077
50809185,Personal,1961-10-11,Graciano,Bas,Cádiz,Ciudad,Santa Cruz de Tenerife,2794,,8021,Rambla Máxima Barrio,30,24569779567,1995-06-02,Casado,M,Barrio 3,2732361
13205573,Laboral,1974-02-04,Catalina,Vélez,Soria,La Rioja,Girona,48,1A,8473,Alameda Íngrid Peralta,50,27474864334,2011-05-28,Viudo,F,Norte,2224136
54758388,Otro,1959-02-26,Almudena,Comas,Zaragoza,Baleares,Baleares,7372,3C,3196,Paseo Agustín Pintor,46,25034197211,2009-11-09,Divorciado,M,Este,4424672
57673255,Otro,1988-04-30,Crescencia,Lara,Burgos,Vizcaya,Málaga,1857,,1833,Calle de Salud Marín,31,25382692945,1996-07-12,Viudo,F,Centro,5767907
12895422,Personal,1978-03-28,Ángela,Romero,Huelva,Cáceres,Asturias,1757,1A,2974,Avenida de Chema Busquets,60,22193247725,1999-10-23,Casado,M,Barrio 2,7182937
51712974,Personal,1977-11-06,Etelvina,Fiol,Alicante,Sevilla,Cádiz,6835,1A,8075,Glorieta de Esmeralda Fabregat,51,20066361226,2004-06-13,Casado,F,Barrio 1,2728344
14921800,Otro,1983-08-11,Lilia,Nogueira,Huesca,Ciudad,Jaén,2486,,1407,Avenida de Alberto Alegre,58,29064734477,2002-10-17,Divorciado,F,Sur,2067618
85791363,Laboral,1976-08-31,Daniela,Cuesta,Ceuta,Toledo,Burgos,263,1A,8919,Cañada Regina Soria,30,24971338719,2020-04-26,Soltero,M,Barrio 1,3390875
60191847,Personal,1982-10-02,José Luis,Nieto,Lleida,Pontevedra,Albacete,7071,3C,4995,Acceso de Aurelio Francisco,37,21194677713,2012-06-06,Casado,M,Oeste,8885044
39196868,Personal,1983-12-05,Miriam,Ramos,Pontevedra,Madrid,Madrid,1924,,7104,Glorieta Amador Bartolomé,48,20596438239,2016-11-06,Viudo,F,Oeste,3996291
80613990,Otro,1961-01-14,Natividad,Santiago,Guipúzcoa,La Coruña,Lleida,8709,4D,3327,Via Dominga Otero,54,28245645665,1994-09-24,Soltero,F,Norte,3393347
44245392,Otro,1976-09-01,María Dolores,Carrasco,Guipúzcoa,Palencia,Almería,8930,3C,3641,Ronda Eugenio Águila,40,23455336755,2004-05-11,Divorciado,M,Oeste,4548565
27225683,Otro,1999-11-30,Eugenio,Roldan,La Coruña,Barcelona,Granada,8146,2B,3763,Via Albina Baños,42,24923876555,2006-03-30,Soltero,M,Este,1530012
35494083,Laboral,2000-03-04,Anacleto,Rubio,Cuenca,Tarragona,Castellón,5269,3C,2973,Plaza Tomasa Cuervo,49,21871866128,2007-05-18,Casado,M,Norte,6692936
