unidad_academica,cargo,dedicacion,dni,desde,hasta,id_antecedente
Tomás Checa Ribas S.Com.,Operador de instalaciones para la preparación de pasta para papel y papel,Docencia,35819396,2016-12-21,2018-03-26,83
Izquierdo y Alonso S.L.L.,Tenedor de libros,Investigación,39433091,2011-01-01,2011-10-09,409
Familia Almeida S.Coop.,"Gerente de centros deportivos, de esparcimiento y culturales",Gestión,60742271,2023-05-30,2024-01-28,852
Restauración Céspedes S.Coop.,"Panaderos, pasteleros y confiteros",Gestión,85117413,2005-09-16,2006-10-11,319
Toro y asociados S.Coop.,Nutricionista,Gestión,58606768,2013-03-05,2020-10-21,547
Torrents & Asociados S.L.L.,Agente inmobiliario,Docencia,21065591,2010-04-19,2011-03-24,18
Cerdán y Bustamante S.A.T.,"Pescador, cazador, tramperos y recolector de subsistencia",Docencia,21455205,2005-12-22,2016-05-17,164
Farmaceútica AS S.L.,Director de servicios de salud,Docencia,17719773,2013-07-05,2021-06-05,201
Raúl Cabrero Haro S.L.N.E,Entrenador deportivo,Investigación,77196644,2011-08-24,2012-08-17,218
Quesada y Melero S.Com.,Organizador de conferencias y eventos,Gestión,97825756,2010-05-12,2013-06-23,737
Compañía Avanzadas S.Com.,Recepcionista,Docencia,61502615,2019-05-04,2022-02-26,856
Bautista & Asociados S.A.,Cartógrafo,Gestión,90685483,2007-02-14,2007-09-04,17
Hermanos Santana S.Coop.,Ayudante de cocina,Docencia,27171594,2011-04-20,2022-11-23,718
Inmobiliaria Somoza & Asociados S.A.,Policías,Docencia,34809699,2015-08-11,2019-10-08,881
Desarrollo Mateu S.Coop.,Conductor de automóviles,Gestión,64333542,2009-01-05,2018-08-13,258
Suministros LGM S.L.,Profesional en redes de computadores,Investigación,79712341,2017-07-14,2020-04-18,863
Hermanos Amat S.Com.,"Operador de máquinas de preparación de fibras, hilado y devanado",Gestión,99799215,2022-05-20,2024-06-13,536
Nicolau & Asociados S.Com.,Electrotécnico,Docencia,34809699,2023-03-03,2023-09-23,881
Despacho Sandoval y asociados S.L.,Mecánico y reparador de vehículos de motor,Investigación,39433091,2020-07-11,2022-10-24,409
Ropero y Mulet S.L.N.E,Operador de instalaciones de vidriería y cerámica,Investigación,93039122,2009-01-16,2015-07-27,954
Fito Lopez Bernat S.A.,Oficial de préstamos y créditos,Docencia,81098805,2018-08-18,2020-04-29,331
Soluciones Blanca y asociados S.C.P,Tramper,Investigación,24070712,2015-05-10,2019-11-27,66
Familia Jove S.Com.,Director de servicios de cuidado de las personas de edad,Docencia,56312166,2013-11-13,2022-10-14,601
Dorita Mascaró Belda S.L.,Controlador de procesos,Investigación,77196644,2007-05-10,2020-11-02,218
Borrego y Palomar S.Com.,Cuidador de animales,Investigación,32239882,2011-04-29,2020-03-15,54
Desarrollo Iglesia S.Coop.,"Supervisor de mantenimiento y limpieza en oficinas, hoteles y otros establecimientos",Investigación,25768548,2009-04-29,2018-03-18,445
Transportes Madrigal S.Coop.,Periodista,Docencia,14208739,2016-05-20,2017-10-13,394
Cabañas & Asociados S.Com.,Profesional de la publicidad y la comercialización,Investigación,78739590,2006-02-20,2006-09-17,671
Banco Oliver S.Coop.,Operador de máquinas de coser,Gestión,26299601,2016-02-20,2017-08-28,96
Construcción Flores y asociados S.L.,Traductor e intérprete,Investigación,79054062,2013-03-08,2022-10-31,84
Familia Marco S.Com.,Tipógrafo,Gestión,85117413,2017-10-22,2018-07-01,319
Familia Arrieta S.Com.,Peón de obras públicas y mantenimiento,Docencia,40224905,2011-01-26,2014-12-03,332
Cepeda & Asociados S.A.,Técnico en aparatos de diagnóstico y tratamiento médico,Docencia,14157112,2020-02-07,2021-06-22,253
Banca Privada WBLU S.L.N.E,Electricista de obras,Docencia,41194283,2012-10-12,2024-01-30,816
Consultoría Cerezo S.L.N.E,Prestamista,Docencia,30854413,2012-02-11,2012-09-15,759
Hotel del Levante S.A.,Lavador de vehículos,Investigación,95495648,2023-06-17,2023-09-08,919
Rivero y Verdejo S.Coop.,Profesional de nivel medio de medicina alternativa,Investigación,96137549,2021-07-29,2021-10-01,338
Alcolea & Asociados S.A.T.,Profesional de enfermería,Gestión,85117413,2017-11-21,2021-12-09,319
Luís y Cárdenas S.A.,Cristalero,Gestión,43830708,2008-07-04,2022-05-05,464
Losa y Pons S.Com.,Historiador,Gestión,90685483,2008-04-12,2023-11-14,17
Despacho Olivera S.A.,Curador de museos,Investigación,79054062,2011-10-17,2022-11-08,84
Hermanos Rey S.A.,Agente de servicios de seguridad social,Investigación,36448075,2004-08-23,2018-03-17,629
Armida Uría Rincón S.A.,Gerente de hoteles o restaurantes,Gestión,58606768,2015-11-19,2020-05-21,547
Rueda y Arias S.L.,Perforador y sondista de pozos,Gestión,24324599,2008-05-10,2011-06-01,673
Promociones Haro S.A.,Director de servicios de cuidados infantiles,Investigación,74689524,2012-09-27,2014-09-24,451
Industrias QYHQ S.A.,Tenedor de libros,Gestión,12604452,2008-02-22,2022-04-09,5
Servicios del Sur S.Com.,Técnico en asistencia al usuario de tecnología de la información y las comunicaciones,Gestión,64763109,2019-09-26,2020-04-15,413
Lluch y Dalmau S.L.N.E,Maestro de enseñanza primaria,Investigación,62265298,2009-07-23,2016-01-21,719
Supermercados Salvà y asociados S.Com.,Peón forestales,Gestión,90685483,2015-11-24,2020-07-10,17
Soluciones ZTSP S.C.P,Director financiero,Gestión,98612398,2011-07-07,2014-06-11,407
Valenzuela y Casares S.Coop.,Vendedor ambulantes (excluyendo de comida),Gestión,12604452,2015-09-28,2017-10-05,5
Transportes Españolas S.Coop.,Director de servicios de bienestar social,Docencia,61341894,2022-11-28,2023-03-15,41
Logística Porcel y asociados S.L.N.E,Tenedor de libros,Investigación,39433091,2021-12-13,2022-12-30,409
Basilio Álvaro Palomares S.L.,Tramper,Investigación,79054062,2007-07-21,2011-02-26,84
